Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group
wep,[],[],[],[],[],[],[],[],[]
hpc,"['tz9', 'ff5']","['tz9', 'ff5']",[],[],[],[],"[('tz9', 4.0), ('ff5', 5.0)]","[('tz9', 1.0), ('ff5', 3.0)]","[('tz9', 1.0), ('ff5', 2.0)]"
1ey,"['klf', 'ayq', '1zx']","['klf', 'ayq', '1zx']",[],[],[],[],"[('klf', 5.0), ('ayq', 2.0), ('1zx', 5.0)]","[('klf', 4.0), ('ayq', 4.0), ('1zx', 4.0)]","[('klf', 1.0), ('ayq', 1.0), ('1zx', 1.0)]"
5or,[],[],[],[],[],[],[],[],[]
f1r,[],[],[],[],[],[],[],[],[]
cuz,"['li1', '2fc']","['li1', '2fc']",['li1'],['li1'],['li1'],[],"[('li1', 3.0), ('2fc', 3.0)]","[('li1', 0.0), ('2fc', 0.0)]","[('li1', 1.0), ('2fc', 0.0)]"
199,"['467', 'zfv']","['467', 'zfv']","['467', 'zfv']",[],"['467', 'zfv']",[],"[('467', 4.0), ('zfv', 3.0)]","[('467', 2.0), ('zfv', 4.0)]","[('467', 1.0), ('zfv', 2.0)]"
vrj,"['5nw', 'rji', 'poi', 'cx9', 'nre', 'n64', '98q']","['5nw', 'poi', 'nre', 'n64', '98q']",[],"['5nw', 'rji', 'poi', 'cx9', 'nre', 'n64', '98q']",[],"['rji', 'cx9']","[('5nw', 5.0), ('rji', 5.0), ('poi', 5.0), ('cx9', 5.0), ('nre', 5.0), ('n64', 5.0), ('98q', 5.0)]","[('5nw', 5.0), ('rji', 5.0), ('poi', 5.0), ('cx9', 5.0), ('nre', 5.0), ('n64', 5.0), ('98q', 5.0)]","[('5nw', 1.0), ('rji', 1.0), ('poi', 1.0), ('cx9', 1.0), ('nre', 1.0), ('n64', 1.0), ('98q', 1.0)]"
gh9,"['dn0', 'j0g']",['dn0'],[],"['dn0', 'j0g']",['dn0'],[],"[('dn0', 8.0), ('j0g', 3.0)]","[('dn0', 6.0), ('j0g', 4.0)]","[('dn0', 1.0), ('j0g', 2.0)]"
z3j,['bf1'],['bf1'],[],[],[],[],"[('bf1', 3.0)]","[('bf1', 5.0)]","[('bf1', 0.0)]"
vhs,"['osf', 'b9u']",[],[],[],[],[],"[('osf', 6.0), ('b9u', 7.0)]","[('osf', 6.0), ('b9u', 4.0)]","[('osf', 1.0), ('b9u', 1.0)]"
5nw,"['cx9', 'nre', 'n64', '98q', 'vrj']","['nre', 'vrj']",[],"['cx9', 'n64', 'vrj']",[],[],"[('cx9', 3.0), ('nre', 5.0), ('n64', 7.0), ('98q', 5.0), ('vrj', 8.0)]","[('cx9', 7.0), ('nre', 0.0), ('n64', 0.0), ('98q', 3.0), ('vrj', 0.0)]",[]
2fc,"['cuz', 'li1']",['cuz'],[],['cuz'],[],[],"[('cuz', 5.0), ('li1', 5.0)]","[('cuz', 7.0), ('li1', 0.0)]","[('cuz', 1.0), ('li1', 1.0)]"
udo,['e30'],[],[],['e30'],[],[],"[('e30', 4.0)]","[('e30', 3.0)]","[('e30', 1.0)]"
15f,"['9c3', 'vkx']",[],[],[],[],[],"[('9c3', 0.0), ('vkx', 0.0)]","[('9c3', 0.0), ('vkx', 0.0)]","[('9c3', 1.0), ('vkx', 2.0)]"
osf,"['vhs', 'b9u', 'fph']",[],[],[],[],[],"[('vhs', 7.0), ('b9u', 7.0), ('fph', 7.0)]","[('vhs', 4.0), ('b9u', 3.0), ('fph', 0.0)]","[('vhs', 1.0), ('b9u', 1.0), ('fph', 2.0)]"
